               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05457,            0.027391,            0.018402,             0.35617,             0.55771,             0.39249,             0.26493,            0.020004,            0.010079,           0.0094482,            0.070526,           0.0032749,           0.0032749
                   1,            0.036286,             0.01887,            0.016619,             0.39849,             0.69454,             0.47491,             0.30951,            0.019623,           0.0061679,           0.0076426,            0.040462,           0.0065434,           0.0065434
                   2,            0.033493,            0.015448,            0.016474,             0.45041,             0.65024,             0.53337,             0.27784,            0.017727,           0.0062179,           0.0064924,            0.010331,           0.0097466,           0.0097466
                   3,            0.027773,            0.015129,              0.0144,             0.21011,             0.28406,             0.14593,            0.042083,            0.027191,           0.0044136,            0.008402,           0.0097059,           0.0097059,           0.0097059
                   4,            0.024177,            0.014192,            0.012762,            0.070417,             0.14087,            0.027243,           0.0079221,            0.035353,           0.0051934,           0.0067925,           0.0097059,           0.0097059,           0.0097059
                   5,            0.021435,            0.013419,            0.012444,             0.69215,             0.77302,              0.7545,             0.55778,            0.015786,           0.0067114,           0.0049214,           0.0096079,           0.0096079,           0.0096079
                   6,            0.020029,            0.013629,            0.012635,             0.55581,             0.70503,             0.57836,             0.21547,            0.015501,           0.0047066,           0.0057891,           0.0095099,           0.0095099,           0.0095099
                   7,            0.019434,            0.012698,            0.011594,             0.74638,             0.83355,              0.8375,             0.55009,           0.0089294,           0.0031599,           0.0051748,           0.0094119,           0.0094119,           0.0094119
                   8,            0.019242,            0.012753,            0.012913,             0.66958,             0.77635,             0.74801,             0.51283,           0.0099044,           0.0039397,           0.0049968,           0.0093139,           0.0093139,           0.0093139
                   9,            0.017337,             0.01271,            0.010537,             0.77871,             0.84261,             0.87361,             0.67922,           0.0086399,            0.003166,           0.0039884,           0.0092158,           0.0092158,           0.0092158
                  10,            0.016473,            0.012193,            0.010433,             0.76489,             0.81746,             0.82637,             0.45147,            0.012724,           0.0033379,           0.0042018,           0.0091178,           0.0091178,           0.0091178
                  11,            0.016897,             0.01184,            0.012181,             0.82484,             0.82125,             0.85975,              0.6779,           0.0077606,           0.0030412,            0.004196,           0.0090198,           0.0090198,           0.0090198
                  12,            0.015144,            0.011882,            0.010262,             0.79653,             0.82483,             0.84213,             0.63504,           0.0081779,           0.0035415,           0.0041912,           0.0089218,           0.0089218,           0.0089218
                  13,            0.015423,            0.011803,            0.010774,             0.76897,             0.87166,             0.87052,             0.71277,           0.0081794,           0.0028147,           0.0046277,           0.0088238,           0.0088238,           0.0088238
                  14,             0.01552,            0.011484,           0.0093507,             0.79432,             0.85181,             0.87726,             0.70634,           0.0074149,           0.0028083,           0.0042679,           0.0087257,           0.0087257,           0.0087257
                  15,            0.014622,             0.01139,           0.0098231,             0.78781,             0.88817,             0.88067,             0.68297,           0.0071639,           0.0031079,            0.003912,           0.0086277,           0.0086277,           0.0086277
