               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070374,            0.030087,            0.020423,             0.19123,             0.12548,             0.14049,            0.059741,            0.040855,            0.011611,            0.017738,              0.0712,              0.0032,              0.0032
                   1,            0.043066,            0.024641,            0.016324,             0.24159,             0.45136,             0.34886,             0.19447,            0.033617,           0.0075485,            0.016482,            0.041436,           0.0064363,           0.0064363
                   2,            0.039133,            0.020691,            0.016678,             0.37025,             0.63412,             0.41522,             0.23321,            0.035006,            0.010087,            0.017388,            0.011608,           0.0096079,           0.0096079
                   3,            0.043113,            0.019391,              0.0176,             0.34578,             0.44733,             0.28087,             0.11044,            0.040378,           0.0063661,            0.015889,           0.0097059,           0.0097059,           0.0097059
                   4,            0.033051,            0.018363,            0.016494,             0.40683,             0.55345,             0.41651,             0.13443,            0.027194,           0.0064888,            0.015394,           0.0097059,           0.0097059,           0.0097059
                   5,            0.027871,            0.018617,             0.01532,             0.34461,             0.52755,             0.37189,             0.20506,            0.025729,           0.0065763,            0.015401,           0.0096079,           0.0096079,           0.0096079
                   6,            0.029144,             0.02014,            0.021007,              0.3829,             0.49663,             0.43097,             0.19103,            0.028508,           0.0068426,            0.016782,           0.0095099,           0.0095099,           0.0095099
                   7,            0.026169,            0.018981,            0.014572,             0.56151,             0.61874,             0.55441,             0.32282,            0.028204,           0.0061703,            0.015499,           0.0094119,           0.0094119,           0.0094119
                   8,            0.026071,            0.017176,            0.015937,             0.50166,             0.60865,             0.51858,             0.23749,            0.030456,           0.0067697,             0.01996,           0.0093139,           0.0093139,           0.0093139
                   9,            0.024225,            0.017877,            0.014894,              0.5844,             0.57835,             0.61775,             0.38291,            0.021738,           0.0062253,            0.014102,           0.0092158,           0.0092158,           0.0092158
                  10,             0.02243,            0.017779,            0.014849,             0.53137,             0.56531,             0.51003,             0.22959,            0.032235,           0.0059177,            0.017263,           0.0091178,           0.0091178,           0.0091178
                  11,            0.023627,            0.017542,            0.013192,             0.60932,             0.64705,             0.60149,             0.33882,            0.024837,           0.0060165,            0.018891,           0.0090198,           0.0090198,           0.0090198
                  12,            0.024134,            0.017531,            0.015179,             0.62043,             0.69581,             0.61737,             0.37468,            0.021744,           0.0056573,            0.018973,           0.0089218,           0.0089218,           0.0089218
                  13,            0.023966,            0.017613,            0.014473,             0.72817,             0.70442,              0.7054,              0.3971,            0.023735,           0.0058206,            0.013419,           0.0088238,           0.0088238,           0.0088238
                  14,            0.023124,            0.017128,            0.014227,             0.61896,             0.70139,             0.67089,             0.39615,            0.020339,           0.0058257,            0.013465,           0.0087257,           0.0087257,           0.0087257
                  15,            0.021437,            0.017084,            0.013531,             0.61746,               0.636,             0.63911,              0.3821,            0.019743,           0.0057434,            0.016365,           0.0086277,           0.0086277,           0.0086277
                  16,            0.021768,            0.016472,            0.013603,             0.61945,             0.67261,              0.6111,             0.40101,            0.027193,           0.0054676,            0.015116,           0.0085297,           0.0085297,           0.0085297
                  17,            0.019504,            0.016064,            0.013324,             0.65391,             0.64614,             0.65713,             0.40615,            0.021274,           0.0059377,            0.015252,           0.0084317,           0.0084317,           0.0084317
