               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074324,            0.029148,            0.020832,             0.33526,             0.18885,              0.1905,            0.085153,            0.040273,            0.011357,            0.012698,            0.070682,           0.0032576,           0.0032576
                   1,            0.045825,            0.024247,            0.017516,             0.16159,             0.45772,             0.18982,            0.076449,            0.039045,           0.0079088,            0.012289,            0.040617,           0.0065263,           0.0065263
                   2,            0.042757,             0.02064,            0.017441,             0.31186,             0.58621,             0.33878,             0.15027,            0.030966,           0.0072895,            0.011883,            0.010487,           0.0097297,           0.0097297
                   3,            0.039439,            0.020527,            0.017289,             0.36206,             0.58394,             0.38772,             0.16881,            0.029564,           0.0079476,            0.012973,           0.0097059,           0.0097059,           0.0097059
                   4,            0.035632,            0.021468,            0.016202,             0.36289,             0.57979,             0.34081,             0.10954,            0.029776,           0.0072216,            0.009413,           0.0097059,           0.0097059,           0.0097059
                   5,            0.036514,            0.020546,            0.014773,             0.42054,             0.56353,             0.40297,              0.1467,            0.026987,           0.0068137,           0.0088104,           0.0096079,           0.0096079,           0.0096079
                   6,            0.034693,            0.019446,            0.013279,             0.57329,             0.59761,             0.55581,             0.24251,            0.025244,           0.0070953,           0.0093262,           0.0095099,           0.0095099,           0.0095099
                   7,            0.029475,            0.019253,            0.015501,             0.39045,             0.50957,             0.36986,              0.1396,            0.028382,           0.0073251,            0.016732,           0.0094119,           0.0094119,           0.0094119
                   8,            0.026362,             0.01972,            0.011363,             0.45003,             0.54185,             0.39651,             0.17178,            0.028294,           0.0068002,             0.01877,           0.0093139,           0.0093139,           0.0093139
                   9,             0.02982,             0.01907,            0.013107,             0.55455,             0.70911,             0.60712,             0.32256,            0.022106,           0.0064854,           0.0095707,           0.0092158,           0.0092158,           0.0092158
                  10,            0.032783,            0.019446,            0.011953,             0.60921,             0.63996,              0.6481,             0.32394,             0.02283,           0.0066182,           0.0077807,           0.0091178,           0.0091178,           0.0091178
                  11,            0.030829,            0.019732,            0.015007,             0.55088,             0.66817,             0.58869,             0.30423,            0.024372,           0.0069329,           0.0088459,           0.0090198,           0.0090198,           0.0090198
                  12,            0.028002,            0.019594,            0.012842,             0.62545,             0.60866,             0.63501,              0.3391,            0.029547,           0.0064474,           0.0071241,           0.0089218,           0.0089218,           0.0089218
                  13,            0.027873,            0.018603,            0.011438,             0.63976,             0.59856,             0.63014,             0.33957,            0.023702,           0.0063748,           0.0091213,           0.0088238,           0.0088238,           0.0088238
                  14,            0.027775,            0.019164,            0.011154,              0.6062,             0.66069,             0.63459,             0.37797,            0.021959,           0.0064873,           0.0083328,           0.0087257,           0.0087257,           0.0087257
                  15,            0.026365,            0.018539,            0.010103,             0.70001,             0.64169,             0.72852,             0.41451,            0.023317,           0.0062322,           0.0073262,           0.0086277,           0.0086277,           0.0086277
                  16,            0.031049,            0.019325,            0.012136,             0.75817,              0.6336,             0.68798,             0.33436,            0.023864,            0.006201,           0.0076889,           0.0085297,           0.0085297,           0.0085297
                  17,            0.026916,            0.019487,            0.012104,             0.70668,             0.66522,             0.69394,             0.37617,            0.025078,            0.006165,            0.010944,           0.0084317,           0.0084317,           0.0084317
                  18,            0.029103,            0.018654,            0.013034,             0.62482,              0.6559,             0.66939,              0.3639,            0.022954,           0.0062284,           0.0079456,           0.0083337,           0.0083337,           0.0083337
                  19,            0.023336,            0.018948,            0.011385,             0.66982,             0.68505,             0.67856,             0.34743,            0.022512,           0.0063528,           0.0079402,           0.0082356,           0.0082356,           0.0082356
                  20,            0.025471,            0.018658,            0.011105,             0.53517,             0.65393,             0.60746,             0.32652,            0.021124,           0.0063412,            0.013859,           0.0081376,           0.0081376,           0.0081376
                  21,            0.026312,            0.018435,           0.0095586,             0.63779,             0.70298,             0.70658,             0.41729,            0.019963,           0.0064058,           0.0073683,           0.0080396,           0.0080396,           0.0080396
                  22,            0.022133,            0.017128,           0.0098151,             0.71866,             0.65671,              0.6998,             0.40248,            0.020403,           0.0064048,           0.0073262,           0.0079416,           0.0079416,           0.0079416
                  23,            0.022381,             0.01785,            0.010506,             0.73951,             0.66458,             0.73131,             0.43917,            0.021797,           0.0060964,           0.0072005,           0.0078436,           0.0078436,           0.0078436
                  24,            0.022668,            0.017703,           0.0098803,              0.6095,             0.66004,             0.63265,             0.37987,            0.020438,           0.0060886,            0.012028,           0.0077455,           0.0077455,           0.0077455
                  25,             0.02504,            0.017905,            0.010826,             0.65546,             0.63037,             0.63932,             0.37178,            0.020607,           0.0063639,            0.007246,           0.0076475,           0.0076475,           0.0076475
                  26,            0.024887,             0.01823,            0.010156,             0.64383,             0.68671,             0.69615,             0.42305,            0.022417,           0.0060118,           0.0089388,           0.0075495,           0.0075495,           0.0075495
                  27,            0.024304,            0.017927,           0.0097603,             0.70823,             0.65706,             0.70209,             0.43211,            0.021473,           0.0060367,            0.006931,           0.0074515,           0.0074515,           0.0074515
                  28,            0.022077,            0.017453,           0.0097789,             0.71762,             0.71289,             0.73141,             0.42909,             0.02085,           0.0063316,           0.0071821,           0.0073535,           0.0073535,           0.0073535
                  29,            0.022172,            0.018028,           0.0088427,              0.5875,             0.67726,             0.65468,             0.39945,            0.019214,             0.00653,           0.0096243,           0.0072554,           0.0072554,           0.0072554
                  30,            0.025481,            0.017611,            0.010355,             0.64966,             0.65509,              0.6854,              0.4159,            0.020313,           0.0062422,           0.0069629,           0.0071574,           0.0071574,           0.0071574
                  31,            0.023094,            0.017531,           0.0093014,             0.65538,             0.65376,             0.65372,             0.40958,            0.020267,           0.0062961,            0.010441,           0.0070594,           0.0070594,           0.0070594
                  32,            0.029098,            0.018401,            0.009286,             0.68584,               0.679,              0.7114,             0.42923,            0.021663,           0.0064195,           0.0086979,           0.0069614,           0.0069614,           0.0069614
                  33,            0.024367,            0.018332,           0.0097679,             0.70475,             0.67419,             0.69497,             0.40737,            0.020854,            0.006097,           0.0086429,           0.0068634,           0.0068634,           0.0068634
                  34,            0.024882,             0.01701,           0.0082881,             0.68728,             0.68254,             0.69472,             0.43473,            0.021404,           0.0061995,           0.0071441,           0.0067653,           0.0067653,           0.0067653
                  35,             0.02513,            0.017148,           0.0096397,             0.69199,             0.70334,             0.71153,             0.43721,            0.019168,            0.005966,           0.0071687,           0.0066673,           0.0066673,           0.0066673
                  36,             0.02261,             0.01749,           0.0075775,             0.65656,             0.68706,             0.67419,             0.42203,            0.021955,           0.0063561,            0.010103,           0.0065693,           0.0065693,           0.0065693
                  37,            0.023492,            0.018037,            0.010675,              0.7205,             0.70572,             0.70892,             0.42491,             0.02167,           0.0062703,           0.0062474,           0.0064713,           0.0064713,           0.0064713
                  38,             0.02492,            0.017045,           0.0080869,             0.74938,              0.6974,             0.73567,              0.4337,            0.020854,           0.0061053,           0.0060073,           0.0063733,           0.0063733,           0.0063733
                  39,            0.023365,            0.017848,           0.0092169,             0.75009,             0.70035,             0.73474,             0.45418,             0.01957,           0.0061039,           0.0062172,           0.0062752,           0.0062752,           0.0062752
                  40,            0.021712,            0.017445,           0.0077761,             0.73596,             0.70226,             0.75512,             0.45702,            0.020839,           0.0061182,           0.0070034,           0.0061772,           0.0061772,           0.0061772
                  41,            0.022491,            0.016986,           0.0082622,             0.66138,             0.65957,             0.72356,             0.43947,            0.019055,           0.0061935,           0.0094738,           0.0060792,           0.0060792,           0.0060792
                  42,            0.024592,            0.016812,           0.0089041,             0.53584,             0.66857,             0.58188,             0.34265,             0.01997,           0.0064557,            0.014562,           0.0059812,           0.0059812,           0.0059812
                  43,            0.024313,             0.01701,           0.0079936,             0.66795,              0.6879,             0.69577,             0.42157,            0.019565,           0.0062989,           0.0084828,           0.0058832,           0.0058832,           0.0058832
                  44,            0.024283,            0.017458,           0.0085881,             0.64603,             0.70572,             0.71733,             0.43151,             0.01896,            0.006325,           0.0068263,           0.0057851,           0.0057851,           0.0057851
