               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067732,              0.0274,            0.019194,             0.25487,             0.29939,             0.24174,              0.1044,            0.032699,            0.010531,           0.0099506,              0.0706,           0.0032667,           0.0032667
                   1,            0.042225,            0.022628,             0.01538,             0.39056,              0.5685,             0.45336,               0.205,             0.02966,           0.0065171,           0.0075742,            0.040535,           0.0065353,           0.0065353
                   2,            0.040725,            0.018262,            0.011057,             0.38385,             0.42513,             0.31334,             0.14057,            0.033542,           0.0077299,            0.010707,            0.010405,           0.0097386,           0.0097386
                   3,            0.032547,            0.018396,            0.010379,             0.59015,             0.61149,             0.58423,             0.26738,            0.024708,           0.0071228,           0.0055582,           0.0097059,           0.0097059,           0.0097059
                   4,            0.035446,             0.01886,            0.010747,             0.50423,             0.56321,             0.54579,             0.23903,             0.02452,           0.0062067,           0.0030621,           0.0097059,           0.0097059,           0.0097059
                   5,            0.029343,            0.018106,           0.0090815,             0.68649,             0.72568,             0.75238,             0.39396,            0.022425,           0.0056721,           0.0062343,           0.0096079,           0.0096079,           0.0096079
                   6,            0.028222,            0.017438,           0.0098733,             0.58133,             0.68031,             0.59959,             0.31028,            0.019326,           0.0062357,           0.0068906,           0.0095099,           0.0095099,           0.0095099
                   7,            0.029409,            0.017403,           0.0067512,             0.63929,             0.73687,             0.66507,             0.29613,            0.022272,           0.0065596,            0.003312,           0.0094119,           0.0094119,           0.0094119
                   8,            0.026469,            0.016855,           0.0069126,             0.71606,             0.70707,             0.69877,             0.36321,            0.023094,           0.0055012,           0.0038989,           0.0093139,           0.0093139,           0.0093139
                   9,            0.027424,            0.017827,           0.0081731,             0.61957,             0.71535,             0.74719,             0.39397,            0.022686,           0.0057901,           0.0078337,           0.0092158,           0.0092158,           0.0092158
                  10,            0.025272,            0.017432,           0.0067248,             0.71455,             0.75751,             0.76366,             0.44079,            0.020469,           0.0056217,           0.0027928,           0.0091178,           0.0091178,           0.0091178
                  11,            0.026456,            0.017141,            0.007664,             0.71012,             0.63628,             0.66082,             0.30018,            0.026995,           0.0058373,           0.0023898,           0.0090198,           0.0090198,           0.0090198
                  12,            0.025636,            0.017261,           0.0075527,             0.76387,             0.76376,             0.78374,             0.47164,            0.020859,           0.0056503,           0.0023603,           0.0089218,           0.0089218,           0.0089218
                  13,            0.026538,            0.017198,           0.0068557,             0.57707,             0.75543,             0.72784,             0.36863,             0.01968,            0.005533,           0.0054697,           0.0088238,           0.0088238,           0.0088238
                  14,            0.023789,            0.016407,           0.0073329,             0.72704,             0.82101,             0.81778,             0.45914,            0.021034,           0.0050186,           0.0018496,           0.0087257,           0.0087257,           0.0087257
                  15,            0.024006,             0.01647,           0.0067027,             0.70046,             0.72046,             0.72066,             0.42087,            0.020301,           0.0052547,           0.0027755,           0.0086277,           0.0086277,           0.0086277
                  16,            0.022689,            0.016461,            0.005377,             0.76761,             0.82266,              0.8486,             0.52662,            0.020684,           0.0047353,           0.0019496,           0.0085297,           0.0085297,           0.0085297
                  17,            0.026049,            0.016498,           0.0085022,             0.79616,             0.83374,             0.84302,             0.51517,            0.018431,           0.0048168,           0.0016389,           0.0084317,           0.0084317,           0.0084317
                  18,            0.021895,            0.016137,           0.0054776,             0.76009,             0.85609,             0.83091,             0.51551,            0.017297,           0.0048783,           0.0015546,           0.0083337,           0.0083337,           0.0083337
                  19,            0.023509,            0.016198,           0.0059763,             0.84632,             0.80452,             0.86549,             0.52613,            0.017727,           0.0052941,            0.001676,           0.0082356,           0.0082356,           0.0082356
                  20,            0.023697,             0.01613,           0.0048312,              0.7885,             0.80641,              0.8441,             0.53468,            0.019665,           0.0049073,           0.0015114,           0.0081376,           0.0081376,           0.0081376
                  21,            0.022993,            0.015633,            0.004436,             0.68791,             0.79827,             0.78803,             0.44536,             0.01827,           0.0051242,           0.0037061,           0.0080396,           0.0080396,           0.0080396
                  22,            0.023255,            0.016066,            0.004256,             0.73952,              0.7499,             0.78456,             0.46505,            0.019201,           0.0051099,            0.003057,           0.0079416,           0.0079416,           0.0079416
                  23,            0.024586,            0.015984,           0.0071552,             0.69023,             0.71269,             0.75524,             0.44339,            0.018432,           0.0053648,           0.0026737,           0.0078436,           0.0078436,           0.0078436
                  24,            0.021421,            0.015998,           0.0066745,              0.7904,              0.8484,             0.86682,             0.55105,            0.019521,           0.0047683,           0.0015679,           0.0077455,           0.0077455,           0.0077455
                  25,            0.021084,            0.015666,           0.0054512,             0.79254,             0.80568,             0.85147,              0.4667,            0.019116,           0.0048878,           0.0014099,           0.0076475,           0.0076475,           0.0076475
                  26,            0.022724,            0.015543,           0.0044137,             0.81411,             0.79185,             0.84716,             0.52703,            0.018645,           0.0049848,           0.0016485,           0.0075495,           0.0075495,           0.0075495
                  27,            0.022036,            0.015758,           0.0049601,             0.75814,             0.82139,             0.85087,             0.53901,            0.018908,           0.0049852,           0.0020911,           0.0074515,           0.0074515,           0.0074515
                  28,            0.020102,            0.015474,           0.0051959,             0.78464,             0.80983,             0.84474,             0.51448,              0.0189,           0.0048457,           0.0017155,           0.0073535,           0.0073535,           0.0073535
                  29,            0.020194,            0.015735,           0.0049476,             0.77282,             0.80628,             0.85063,             0.51939,            0.019408,           0.0048836,           0.0019782,           0.0072554,           0.0072554,           0.0072554
                  30,             0.02265,            0.015528,           0.0045218,             0.85116,             0.80713,              0.8699,             0.56597,            0.017815,           0.0050197,           0.0017484,           0.0071574,           0.0071574,           0.0071574
                  31,            0.022652,            0.015491,           0.0044731,             0.67757,              0.7709,             0.78093,             0.50377,            0.019693,           0.0049488,           0.0046534,           0.0070594,           0.0070594,           0.0070594
                  32,            0.022563,            0.015971,           0.0048795,             0.84848,             0.84428,             0.88576,             0.56578,             0.01626,           0.0047076,           0.0014324,           0.0069614,           0.0069614,           0.0069614
                  33,            0.018311,            0.015278,            0.005035,               0.825,             0.84918,             0.86788,             0.55902,             0.01773,           0.0047448,           0.0014677,           0.0068634,           0.0068634,           0.0068634
                  34,            0.021535,            0.015709,            0.005104,             0.82073,             0.85507,             0.87155,             0.55102,            0.018557,           0.0046671,           0.0011052,           0.0067653,           0.0067653,           0.0067653
                  35,            0.020453,            0.015941,           0.0044787,             0.84599,             0.80624,             0.88316,             0.56417,            0.018376,           0.0046223,           0.0011966,           0.0066673,           0.0066673,           0.0066673
                  36,            0.020159,            0.015179,           0.0049642,             0.82284,             0.86308,             0.88656,             0.55469,            0.018231,           0.0047107,           0.0010484,           0.0065693,           0.0065693,           0.0065693
                  37,            0.023302,            0.015601,           0.0049651,              0.8552,             0.81448,             0.88727,             0.54674,             0.01762,           0.0048029,           0.0012181,           0.0064713,           0.0064713,           0.0064713
                  38,            0.021186,            0.015553,           0.0040365,             0.81235,             0.82491,             0.87079,             0.55147,            0.017839,           0.0048764,           0.0015314,           0.0063733,           0.0063733,           0.0063733
                  39,            0.020692,            0.015265,           0.0038427,             0.82244,             0.86009,             0.89298,             0.59246,            0.016978,           0.0047806,           0.0015025,           0.0062752,           0.0062752,           0.0062752
                  40,            0.020193,            0.014394,           0.0046588,              0.8251,             0.79718,             0.86739,             0.56143,            0.016869,           0.0046194,           0.0017596,           0.0061772,           0.0061772,           0.0061772
                  41,            0.019893,            0.015135,           0.0038219,             0.81233,             0.80653,             0.84811,             0.52722,            0.018248,           0.0051202,           0.0023696,           0.0060792,           0.0060792,           0.0060792
                  42,            0.018828,            0.015115,           0.0060029,             0.75008,             0.84292,             0.83909,             0.51698,            0.017763,           0.0050599,           0.0022691,           0.0059812,           0.0059812,           0.0059812
                  43,            0.018812,            0.015192,           0.0054614,             0.83158,             0.83565,               0.877,             0.56772,            0.016689,           0.0046944,           0.0012598,           0.0058832,           0.0058832,           0.0058832
                  44,            0.017671,            0.015062,           0.0050606,             0.83087,             0.85028,             0.87694,              0.5543,             0.01791,           0.0047103,           0.0019335,           0.0057851,           0.0057851,           0.0057851
                  45,            0.020124,            0.014665,           0.0040772,             0.80968,             0.85689,             0.89471,             0.58395,            0.017191,           0.0045959,           0.0015838,           0.0056871,           0.0056871,           0.0056871
                  46,            0.018777,             0.01465,           0.0037766,             0.79471,              0.8338,             0.85489,             0.52685,            0.018574,            0.004786,           0.0019374,           0.0055891,           0.0055891,           0.0055891
                  47,            0.022807,            0.014915,           0.0055717,             0.78529,             0.84668,             0.83808,             0.53786,            0.017557,           0.0049248,           0.0017638,           0.0054911,           0.0054911,           0.0054911
                  48,            0.018954,             0.01547,           0.0044215,              0.8516,               0.863,             0.89356,             0.58861,            0.017225,           0.0046172,           0.0014392,           0.0053931,           0.0053931,           0.0053931
