               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079681,            0.028381,            0.022262,             0.74175,              0.2103,             0.23782,             0.12687,            0.050679,             0.01186,            0.015014,            0.070455,           0.0032828,           0.0032828
                   1,            0.054574,            0.022033,            0.016732,             0.33989,              0.4069,             0.30232,             0.15131,              0.0453,            0.007932,            0.011521,             0.04039,           0.0065513,           0.0065513
                   2,             0.05097,            0.020005,             0.01474,             0.44133,             0.35494,             0.35867,             0.16857,            0.048421,           0.0082498,            0.011837,            0.010259,           0.0097544,           0.0097544
                   3,            0.050407,            0.021058,            0.014954,             0.09783,             0.17034,            0.065635,            0.024962,            0.055485,           0.0092176,            0.012998,           0.0097059,           0.0097059,           0.0097059
                   4,            0.048215,             0.02106,            0.014834,              0.2856,             0.33414,             0.23827,            0.094864,            0.046631,            0.010076,              0.0132,           0.0097059,           0.0097059,           0.0097059
                   5,            0.044078,            0.020608,            0.014128,              0.1802,               0.241,             0.14928,            0.043558,            0.048164,           0.0098486,            0.010986,           0.0096079,           0.0096079,           0.0096079
                   6,            0.045709,            0.020572,             0.01487,             0.23185,             0.28303,             0.14706,            0.065256,            0.048629,           0.0083745,            0.010932,           0.0095099,           0.0095099,           0.0095099
                   7,            0.039293,            0.020185,             0.01262,             0.42651,             0.45271,             0.40283,             0.17545,            0.042785,           0.0073781,           0.0088338,           0.0094119,           0.0094119,           0.0094119
                   8,            0.043588,            0.019641,            0.014332,             0.57158,             0.51717,             0.51221,             0.28546,            0.040171,           0.0072411,            0.010842,           0.0093139,           0.0093139,           0.0093139
                   9,             0.04124,            0.019166,            0.012175,              0.4247,             0.46118,             0.44325,             0.26705,            0.039081,           0.0072924,            0.012322,           0.0092158,           0.0092158,           0.0092158
                  10,            0.041339,            0.019541,            0.012113,              0.5401,             0.51688,             0.52656,             0.30599,             0.03973,           0.0067772,           0.0098727,           0.0091178,           0.0091178,           0.0091178
                  11,             0.04035,            0.019114,            0.012575,             0.52497,             0.57794,             0.51386,             0.30598,            0.037335,           0.0069057,            0.010854,           0.0090198,           0.0090198,           0.0090198
                  12,            0.034291,            0.018756,            0.010505,             0.59556,             0.55893,             0.56585,             0.33941,            0.037779,           0.0068203,            0.010561,           0.0089218,           0.0089218,           0.0089218
                  13,            0.036387,            0.018397,            0.011196,             0.56139,             0.53243,             0.53268,             0.30448,            0.036063,           0.0067822,           0.0095141,           0.0088238,           0.0088238,           0.0088238
                  14,            0.036569,            0.018335,            0.012531,             0.58046,             0.54349,             0.54666,             0.28538,            0.040037,           0.0065124,            0.009015,           0.0087257,           0.0087257,           0.0087257
                  15,             0.03578,            0.018693,            0.010742,             0.56918,             0.50906,             0.54888,             0.32246,            0.038006,           0.0068146,           0.0089408,           0.0086277,           0.0086277,           0.0086277
                  16,            0.037179,             0.01863,            0.010805,             0.60361,             0.59673,             0.60674,             0.35137,            0.035668,           0.0070149,           0.0087692,           0.0085297,           0.0085297,           0.0085297
                  17,            0.037131,            0.018562,            0.010658,              0.6188,             0.52736,             0.58185,             0.36352,            0.037018,           0.0069667,           0.0088004,           0.0084317,           0.0084317,           0.0084317
                  18,            0.031224,            0.018136,           0.0096746,             0.57334,             0.60384,             0.57458,             0.33307,            0.035545,           0.0065967,           0.0089493,           0.0083337,           0.0083337,           0.0083337
                  19,            0.036271,            0.018792,            0.012216,             0.57776,             0.55893,             0.55424,             0.31643,            0.038027,           0.0068523,            0.010083,           0.0082356,           0.0082356,           0.0082356
                  20,            0.033801,            0.018269,            0.010871,             0.60257,             0.58653,             0.58685,             0.35683,            0.033873,           0.0066835,           0.0080339,           0.0081376,           0.0081376,           0.0081376
                  21,            0.034183,            0.019219,            0.012444,             0.59741,             0.57095,              0.5757,             0.35606,            0.035535,           0.0068055,           0.0081472,           0.0080396,           0.0080396,           0.0080396
                  22,            0.033343,            0.018203,            0.009919,             0.56811,             0.56925,             0.55819,             0.33574,            0.037224,           0.0065386,            0.010183,           0.0079416,           0.0079416,           0.0079416
                  23,            0.035081,            0.018323,            0.010894,             0.62685,              0.6001,             0.60436,             0.38003,            0.036256,           0.0066267,            0.010318,           0.0078436,           0.0078436,           0.0078436
                  24,            0.032066,            0.018147,            0.010653,             0.59321,             0.58929,             0.58885,             0.36783,            0.035534,           0.0065516,           0.0096674,           0.0077455,           0.0077455,           0.0077455
                  25,            0.033299,            0.018308,            0.010731,             0.61699,             0.59611,              0.5535,             0.35568,            0.034447,           0.0066214,            0.010031,           0.0076475,           0.0076475,           0.0076475
