               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066925,            0.029261,            0.020052,             0.33501,             0.11924,              0.1444,             0.06521,            0.039463,            0.011198,            0.013396,            0.070833,           0.0032407,           0.0032407
                   1,            0.049258,             0.02454,             0.01907,             0.34002,             0.51106,             0.35267,             0.17091,            0.030754,           0.0074906,            0.011347,            0.040769,           0.0065096,           0.0065096
                   2,            0.039254,            0.019863,            0.017029,             0.31413,             0.72087,              0.3851,             0.21379,            0.035578,           0.0066207,            0.011583,            0.010639,           0.0097132,           0.0097132
                   3,            0.038854,            0.019022,            0.015972,             0.36655,             0.52479,             0.42828,              0.2036,            0.030374,           0.0071472,            0.010953,           0.0097059,           0.0097059,           0.0097059
                   4,             0.03141,            0.017659,            0.012898,             0.45893,              0.5715,             0.51268,              0.2142,             0.02726,           0.0061453,           0.0077797,           0.0097059,           0.0097059,           0.0097059
                   5,            0.030971,            0.018679,            0.015205,             0.48535,             0.52423,             0.48839,             0.21346,            0.025059,           0.0062616,           0.0067792,           0.0096079,           0.0096079,           0.0096079
                   6,            0.029655,            0.018291,            0.014026,             0.41252,             0.64404,             0.49988,             0.24316,            0.024947,           0.0063383,             0.01378,           0.0095099,           0.0095099,           0.0095099
                   7,            0.030801,            0.018369,            0.013389,             0.44617,             0.53441,             0.46725,             0.15573,            0.027268,           0.0057418,            0.014348,           0.0094119,           0.0094119,           0.0094119
                   8,             0.02843,            0.017609,            0.013233,             0.61794,             0.60291,             0.60722,             0.21943,            0.027906,           0.0056377,           0.0082177,           0.0093139,           0.0093139,           0.0093139
                   9,            0.025379,            0.017418,            0.012141,             0.56124,             0.61275,             0.58088,              0.2498,             0.02569,           0.0053642,            0.016444,           0.0092158,           0.0092158,           0.0092158
                  10,            0.026937,            0.017321,            0.012994,             0.63371,             0.66692,             0.62742,             0.32066,            0.023657,           0.0058201,           0.0068069,           0.0091178,           0.0091178,           0.0091178
                  11,             0.02438,            0.017376,            0.011034,             0.55606,              0.6432,             0.61734,             0.30433,            0.025508,           0.0057285,           0.0082954,           0.0090198,           0.0090198,           0.0090198
                  12,            0.024814,             0.01782,            0.012969,             0.64164,             0.66295,             0.62675,             0.34573,            0.023289,           0.0057329,           0.0068019,           0.0089218,           0.0089218,           0.0089218
                  13,            0.025509,            0.018106,            0.011083,             0.67362,             0.69617,             0.68817,             0.34699,            0.023874,           0.0053615,           0.0055995,           0.0088238,           0.0088238,           0.0088238
