               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059641,            0.028353,            0.018718,             0.22493,             0.46272,             0.29671,             0.16012,             0.01949,            0.010733,           0.0083691,            0.070682,           0.0032576,           0.0032576
                   1,            0.040153,             0.02087,            0.016654,             0.27015,             0.58525,             0.34967,             0.21836,            0.019222,           0.0052867,           0.0082141,            0.040617,           0.0065263,           0.0065263
                   2,            0.036762,            0.016943,            0.018018,             0.18419,             0.63624,             0.19767,            0.090022,            0.021676,           0.0051886,           0.0083423,            0.010487,           0.0097297,           0.0097297
                   3,            0.031943,            0.015698,            0.015128,             0.41576,             0.75192,             0.49446,             0.31378,            0.012226,           0.0045732,           0.0081433,           0.0097059,           0.0097059,           0.0097059
                   4,            0.025704,            0.015543,            0.014429,             0.34795,             0.53855,             0.36449,             0.19832,            0.017843,           0.0058549,           0.0087378,           0.0097059,           0.0097059,           0.0097059
                   5,            0.026109,             0.01513,            0.015634,             0.44041,             0.54915,             0.43584,             0.16265,            0.017284,           0.0053719,           0.0061627,           0.0096079,           0.0096079,           0.0096079
                   6,            0.022832,            0.014522,            0.013556,             0.50635,             0.59229,             0.50273,             0.23895,             0.01333,           0.0050293,           0.0073938,           0.0095099,           0.0095099,           0.0095099
                   7,              0.0223,            0.014698,            0.013271,             0.63375,             0.74453,             0.71562,             0.37137,           0.0093615,            0.004327,           0.0058704,           0.0094119,           0.0094119,           0.0094119
                   8,            0.024325,            0.014023,            0.014286,             0.61062,             0.77431,              0.7169,             0.47898,           0.0090653,           0.0043606,           0.0061444,           0.0093139,           0.0093139,           0.0093139
                   9,            0.018578,            0.013867,            0.011352,             0.68837,             0.75603,             0.74046,             0.53272,           0.0069344,            0.004135,            0.005686,           0.0092158,           0.0092158,           0.0092158
                  10,            0.020135,            0.013896,            0.012115,             0.65115,             0.77111,             0.74152,             0.49574,           0.0069001,           0.0046483,           0.0058551,           0.0091178,           0.0091178,           0.0091178
                  11,            0.016048,            0.013664,             0.01181,             0.73806,             0.72697,             0.79688,             0.56963,           0.0068823,           0.0041131,           0.0055548,           0.0090198,           0.0090198,           0.0090198
                  12,            0.019075,             0.01354,            0.012362,             0.58018,             0.87516,             0.69727,             0.51223,           0.0094493,           0.0038442,           0.0067242,           0.0089218,           0.0089218,           0.0089218
                  13,            0.016944,            0.013076,            0.011254,             0.55572,             0.84704,             0.69057,             0.50525,           0.0066547,           0.0036104,            0.010339,           0.0088238,           0.0088238,           0.0088238
                  14,            0.016764,            0.013257,            0.011036,             0.63871,             0.76075,             0.73096,             0.47394,           0.0075835,           0.0043871,           0.0054254,           0.0087257,           0.0087257,           0.0087257
                  15,            0.016584,            0.012844,            0.012053,             0.68059,             0.75411,              0.7669,             0.53991,           0.0087001,           0.0039582,           0.0061029,           0.0086277,           0.0086277,           0.0086277
                  16,             0.01732,            0.013656,            0.012388,             0.71998,             0.76535,               0.806,             0.59341,           0.0063898,           0.0038263,           0.0059204,           0.0085297,           0.0085297,           0.0085297
                  17,             0.01525,            0.012949,            0.011535,             0.68954,             0.78446,              0.7894,             0.58559,           0.0059703,           0.0037665,           0.0057184,           0.0084317,           0.0084317,           0.0084317
                  18,            0.017097,            0.013081,            0.010888,             0.70645,             0.73821,             0.76748,             0.57597,           0.0064573,           0.0038508,           0.0056702,           0.0083337,           0.0083337,           0.0083337
                  19,            0.016143,            0.013163,            0.010408,             0.68884,             0.79523,             0.77389,             0.53345,           0.0066947,           0.0038496,           0.0063202,           0.0082356,           0.0082356,           0.0082356
                  20,            0.015323,            0.012278,            0.011845,             0.71061,             0.81953,             0.83776,             0.60519,           0.0067349,           0.0041053,           0.0046387,           0.0081376,           0.0081376,           0.0081376
                  21,            0.015479,            0.012346,            0.010414,             0.73455,             0.76617,             0.77979,             0.55572,           0.0060612,           0.0038634,           0.0053671,           0.0080396,           0.0080396,           0.0080396
                  22,            0.015057,            0.012824,            0.010351,             0.70481,             0.76124,             0.82045,             0.60635,           0.0062186,           0.0035355,           0.0058075,           0.0079416,           0.0079416,           0.0079416
                  23,            0.015628,             0.01296,            0.010749,             0.67369,             0.77564,             0.79187,             0.57294,           0.0063571,           0.0037624,           0.0055963,           0.0078436,           0.0078436,           0.0078436
                  24,            0.015112,            0.012228,           0.0093677,             0.73371,             0.76562,             0.79266,             0.59725,           0.0060496,           0.0035736,            0.005596,           0.0077455,           0.0077455,           0.0077455
                  25,            0.014139,            0.012959,            0.009031,             0.74492,              0.7704,              0.8112,             0.61621,           0.0058651,           0.0034929,           0.0057135,           0.0076475,           0.0076475,           0.0076475
                  26,            0.014866,            0.012248,            0.010327,             0.58989,             0.84715,             0.76501,             0.56546,           0.0057388,            0.003506,            0.007312,           0.0075495,           0.0075495,           0.0075495
                  27,             0.01423,            0.011944,           0.0094157,             0.66811,             0.77648,                 0.8,             0.59309,           0.0058731,           0.0036119,           0.0062292,           0.0074515,           0.0074515,           0.0074515
