               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087157,            0.025689,            0.047415,             0.38881,             0.20614,             0.17398,             0.06334,            0.065542,            0.013407,            0.036291,            0.070213,           0.0033097,           0.0033097
                   1,            0.062983,            0.021502,             0.02782,             0.26557,             0.42829,             0.34011,             0.10197,            0.061482,            0.011241,            0.021629,            0.040084,           0.0065141,           0.0065141
                   2,            0.060136,            0.019221,            0.020847,             0.28207,             0.45377,             0.31273,              0.1049,            0.061385,            0.010055,            0.021154,           0.0098254,            0.009589,            0.009589
                   3,            0.056514,            0.019442,             0.02057,              0.2707,             0.53591,             0.36291,             0.13047,            0.055949,            0.011711,            0.024692,           0.0094176,           0.0094176,           0.0094176
                   4,            0.053528,            0.019431,            0.018253,             0.20834,             0.34167,              0.2408,              0.0815,            0.058665,            0.012564,            0.016557,           0.0094176,           0.0094176,           0.0094176
                   5,            0.051597,            0.019094,            0.017451,              0.3565,             0.58686,             0.40108,             0.16617,            0.055079,             0.01164,            0.026831,           0.0092235,           0.0092235,           0.0092235
                   6,            0.050545,            0.019086,            0.015946,             0.39107,             0.44013,             0.38196,             0.14758,            0.057377,             0.01097,            0.018268,           0.0090294,           0.0090294,           0.0090294
                   7,            0.049459,            0.018444,            0.015349,             0.50324,             0.49826,             0.47557,             0.19835,             0.05297,            0.012054,             0.01891,           0.0088353,           0.0088353,           0.0088353
                   8,            0.047872,            0.018607,            0.014072,             0.69486,             0.49913,             0.55567,             0.22302,            0.051591,             0.01021,            0.017617,           0.0086412,           0.0086412,           0.0086412
                   9,            0.046967,            0.017914,            0.012381,             0.53283,             0.47294,             0.50873,             0.19739,             0.04868,            0.010761,            0.017481,           0.0084471,           0.0084471,           0.0084471
                  10,            0.045763,            0.018283,            0.012757,             0.67868,             0.44138,             0.52493,             0.21886,            0.050318,             0.01118,            0.013716,           0.0082529,           0.0082529,           0.0082529
                  11,            0.045231,            0.017775,            0.012353,             0.62535,             0.57327,             0.61072,             0.23615,            0.048398,           0.0098581,            0.012935,           0.0080588,           0.0080588,           0.0080588
                  12,            0.044262,            0.017635,            0.011848,             0.63207,             0.55219,             0.58907,             0.25883,             0.04694,            0.010374,            0.014128,           0.0078647,           0.0078647,           0.0078647
                  13,            0.043196,            0.017478,            0.011047,             0.58306,             0.57838,             0.56156,             0.25225,            0.046559,            0.010384,            0.012654,           0.0076706,           0.0076706,           0.0076706
                  14,            0.042666,            0.017367,            0.010366,             0.51616,              0.6447,             0.55774,             0.23158,            0.049904,           0.0097316,            0.017688,           0.0074765,           0.0074765,           0.0074765
                  15,            0.042036,            0.016778,            0.010688,             0.57774,             0.61457,             0.57895,             0.23604,            0.050153,            0.010215,            0.014705,           0.0072824,           0.0072824,           0.0072824
                  16,            0.041191,            0.016843,            0.010204,             0.64638,             0.62865,             0.61553,             0.24724,            0.048362,            0.010246,            0.013771,           0.0070882,           0.0070882,           0.0070882
                  17,            0.040654,            0.016324,           0.0094523,             0.55323,             0.57441,             0.54385,             0.22954,            0.048723,            0.010203,            0.019802,           0.0068941,           0.0068941,           0.0068941
                  18,            0.040519,            0.016478,           0.0094348,             0.65543,             0.65841,             0.66815,             0.26054,            0.047764,            0.009414,            0.017437,              0.0067,              0.0067,              0.0067
                  19,            0.039055,             0.01577,           0.0088815,             0.51344,             0.59773,             0.59141,             0.24356,            0.048266,            0.010073,            0.018153,           0.0065059,           0.0065059,           0.0065059
                  20,            0.039611,            0.016205,           0.0086095,             0.62186,             0.62805,             0.60232,             0.24635,            0.046639,           0.0099564,            0.017432,           0.0063118,           0.0063118,           0.0063118
                  21,            0.038017,              0.0156,           0.0085241,             0.60738,             0.63204,             0.63756,             0.29298,            0.044246,            0.010147,            0.012554,           0.0061176,           0.0061176,           0.0061176
                  22,            0.037777,            0.015736,            0.008242,             0.68196,              0.7399,             0.75376,             0.29688,            0.045822,             0.01004,            0.014689,           0.0059235,           0.0059235,           0.0059235
                  23,            0.037136,            0.015663,           0.0072989,             0.66691,             0.62479,             0.69445,             0.28324,             0.04696,            0.010398,            0.019365,           0.0057294,           0.0057294,           0.0057294
                  24,            0.036715,            0.015264,           0.0075768,             0.72061,             0.56824,             0.68994,             0.27325,            0.046928,            0.010456,            0.018352,           0.0055353,           0.0055353,           0.0055353
                  25,            0.036515,            0.015477,           0.0066854,             0.63993,             0.61555,             0.64706,             0.27842,            0.046659,           0.0098256,            0.019411,           0.0053412,           0.0053412,           0.0053412
                  26,            0.035618,            0.014787,           0.0067204,             0.65376,             0.62419,               0.668,             0.28997,            0.045599,           0.0098794,            0.022626,           0.0051471,           0.0051471,           0.0051471
                  27,            0.035548,            0.014858,           0.0068329,              0.5672,             0.64425,             0.61754,             0.27254,             0.04683,            0.010108,            0.015131,           0.0049529,           0.0049529,           0.0049529
                  28,            0.034965,            0.014826,           0.0061303,             0.61827,             0.63949,             0.62203,             0.28406,            0.045258,            0.010302,            0.015907,           0.0047588,           0.0047588,           0.0047588
                  29,            0.034266,            0.014403,            0.006379,             0.73848,             0.58642,             0.66384,             0.28099,            0.045309,            0.010039,            0.015226,           0.0045647,           0.0045647,           0.0045647
                  30,            0.034239,            0.015011,           0.0061973,             0.67763,             0.68629,              0.6529,             0.29171,             0.04545,            0.010187,             0.02184,           0.0043706,           0.0043706,           0.0043706
                  31,            0.033284,            0.014415,            0.006128,             0.70486,              0.6843,             0.71828,             0.32827,            0.044337,            0.010305,            0.015956,           0.0041765,           0.0041765,           0.0041765
                  32,            0.033091,            0.014089,           0.0054456,              0.6038,             0.61556,             0.63891,              0.3017,            0.044774,           0.0099156,             0.01611,           0.0039824,           0.0039824,           0.0039824
